Year,Round,DT,OverallPick,FrRnd,RoundPick,Team,Signed,Bonus,Name,Position,WAR,GamesBatted,AtBats,HomeRuns,Average,OPS,GamesPitched,Wins,Losses,ERA,WHIP,Saves,Type,DraftedFrom
2020,1,,1,FrRnd,1,Tigers,Y,"$8,416,300 ",Spencer Torkelson (minors),3B,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
2020,1,,2,FrRnd,2,Orioles,Y,"$5,200,000 ",Heston Kjerstad (minors),OF,,,,,,,,,,,,,4Yr,University of Arkansas (Fayetteville AR)
2020,1,,3,FrRnd,3,Marlins,Y,"$6,700,000 ",Max Meyer (minors),P,,,,,,,,,,,,,4Yr,University of Minnesota (Minneapolis MN)
2020,1,,4,FrRnd,4,Royals,Y,"$6,670,000 ",Asa Lacy (minors),P,,,,,,,,,,,,,4Yr,Texas A&M University (College Station TX)
2020,1,,5,FrRnd,5,Blue Jays,N,,Austin Martin (minors),SS,,,,,,,,,,,,,4Yr,Vanderbilt University (Nashville TN)
2020,1,,6,FrRnd,6,Mariners,Y,"$5,700,000 ",Emerson Hancock (minors),P,,,,,,,,,,,,,4Yr,University of Georgia (Athens GA)
2020,1,,7,FrRnd,7,Pirates,Y,"$5,432,400 ",Nick Gonzales (minors),SS,,,,,,,,,,,,,4Yr,New Mexico State University (Las Cruces NM)
2020,1,,8,FrRnd,8,Padres,Y,"$4,300,000 ",Robert Hassell (minors),OF,,,,,,,,,,,,,HS,Independence HS (Thompson's Station TN)
2020,1,,9,FrRnd,9,Rockies,Y,"$5,000,000 ",Zac Veen (minors),OF,,,,,,,,,,,,,HS,Spruce Creek HS (Port Orange FL)
2020,1,,10,FrRnd,10,Angels,Y,"$4,670,000 ",Reid Detmers (minors),P,,,,,,,,,,,,,4Yr,University of Louisville (Louisville KY)
2020,1,,11,FrRnd,11,White Sox,Y,"$4,547,500 ",Garrett Crochet (minors),P,,,,,,,,,,,,,4Yr,University of Tennessee (Knoxville TN)
2020,1,,12,FrRnd,12,Reds,Y,"$4,000,000 ",Austin Hendrick (minors),OF,,,,,,,,,,,,,HS,West Allegheny HS (Imperial PA)
2020,1,,13,FrRnd,13,Giants,Y,"$3,797,500 ",Patrick Bailey (minors),C,,,,,,,,,,,,,4Yr,North Carolina State University (Raleigh NC)
